Verkaufsstellennr.;Name 1;Name 2;Name 3;Strasse;PLZ;Ort;Adresszusatz;Typ;Öffnungszeiten Montag 1;Öffnungszeiten Montag 2;Öffnungszeiten Montag 3;Öffnungszeiten Dienstag 1;Öffnungszeiten Dienstag 2;Öffnungszeiten Dienstag 3;Öffnungszeiten Mittwoch 1;Öffnungszeiten Mittwoch 2;Öffnungszeiten Mittwoch 3;Öffnungszeiten Donnerstag 1;Öffnungszeiten Donnerstag 2;Öffnungszeiten Donnerstag 3;Öffnungszeiten Freitag 1;Öffnungszeiten Freitag 2;Öffnungszeiten Freitag 3;Öffnungszeiten Samstag 1;Öffnungszeiten Samstag 2;Öffnungszeiten Samstag 3;Öffnungszeiten Sonntag 1;Öffnungszeiten Sonntag 2;Öffnungszeiten Sonntag 3;Koord_Lat;Koord_Lon;Lat;Lon
503946;Reisezentrum Mönchengladbach Hbf;;;Europaplatz 1;41061;Mönchengladbach;;Reisezentrum;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;09:00-16:00;;;;;;51197549;6445220;51.197549;6.44522
504043;Reisezentrum Mülheim (Ruhr) Hbf;;;Dieter aus dem Siepen Pl. 3;45468;Mülheim;;Reisezentrum;08:30-18:00;;;08:30-18:00;;;08:30-18:00;;;08:30-18:00;;;08:30-18:00;;;08:30-14:00;;;;;;51431233;6885853;51.431233;6.885853
503839;Reisezentrum Münster (Westf) Hbf;;;Berliner Platz 29;48143;Münster;;Reisezentrum;06:30-20:00;;;06:30-20:00;;;06:30-20:00;;;06:30-20:00;;;06:30-20:00;;;06:30-20:00;;;09:00-20:00;;;51956623;7634552;51.956623;7.634552
503730;Reisezentrum Neheim-Hüsten;;;Bahnhofstr. 36;59759;Arnsberg  ;;Reisezentrum;08:00-12:15;13:30-17:30;;08:00-12:15;13:30-17:30;;08:00-12:15;13:30-17:30;;08:00-12:15;13:30-17:30;;08:00-12:15;13:30-17:30;;08:00-13:30;;;;;;51438274;7970735;51.438274;7.970735
503920;Reisezentrum Neuss Hbf;;;Furtherstr. 1;41460;Neuss;;Reisezentrum;08:30-18:00;;;08:30-18:00;;;08:30-18:00;;;08:30-18:00;;;08:30-18:00;;;08:30-14:00;;;;;;51204100;6684120;51.2041;6.68412
504027;Reisezentrum Oberhausen Hbf;;;Willy Brandt Platz 1;46045;Oberhausen;;Reisezentrum;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;08:30-16:00;;;09:00-14:30;;;51473815;6853852;51.473815;6.853852
504076;Reisezentrum Paderborn Hbf;;;Bahnhofstr. 29;33102;Paderborn;;Reisezentrum;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;08:00-17:00;;;10:00-16:00;;;51713530;8740472;51.71353;8.740472
503532;Reisezentrum Recklinghausen Hbf;;;Große Perdekampstr. 2;45657;Recklinghausen;;Reisezentrum;06:30-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:30-15:00;;;10:00-14:00;;;51615656;7202463;51.615656;7.202463
503805;Reisezentrum Rheine;;;Am Hauptbahnhof 2;48431;Rheine;;Reisezentrum;08:00-18:30;;;08:00-18:30;;;08:00-18:30;;;08:00-18:30;;;08:00-18:30;;;08:00-13:30;;;11:00-16:30;;;52276597;7435445;52.276597;7.435445
503763;Reisezentrum Schwerte (Ruhr);;;Bahnhofstr. 35;58239;Schwerte;;Reisezentrum;08:00-12:30;13:30-18:00;;08:00-12:30;13:30-18:00;;08:00-12:30;13:30-18:00;;08:00-12:30;13:30-18:00;;08:00-12:30;13:30-18:00;;08:00-13:30;;;;;;51442147;7559382;51.442147;7.559382
504167;Reisezentrum Siegburg;;;Europaplatz 2-3;53721;Siegburg;;Reisezentrum;06:00-19:00;;;06:30-19:00;;;06:30-19:00;;;06:30-20:00;;;06:30-19:00;;;07:30-17:45;;;09:30-18:45;;;50793826;7204350;50.793826;7.20435
504225;Reisezentrum Siegen;;;Am Bahnhof 18;57072;Siegen;;Reisezentrum;08:00-17:45;;;08:00-17:45;;;08:00-17:45;;;08:00-17:45;;;08:00-17:45;;;08:00-15:15;;;;;;50875106;8015887;50.875106;8.015887
504050;Reisezentrum Soest;;;Bahnhofstr. 2;59494;Soest;;Reisezentrum;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;;;;;;;51577838;8105276;51.577838;8.105276
504233;Reisezentrum Solingen Hbf;;;Bahnstr. 5;42697;Solingen;;Reisezentrum;08:30-12:30;13:30-17:00;;08:30-12:30;13:30-17:00;;08:30-12:30;13:30-17:00;;08:30-12:30;13:30-17:00;;08:30-12:30;13:30-17:00;;09:45-15:15;;;;;;51161341;7003369;51.161341;7.003369
504100;Reisezentrum Troisdorf;;;Poststr.;53840;Troisdorf;;Reisezentrum;07:00-12:15;13:00-16:30;;09:00-12:15;13:00-16:30;;09:00-12:15;13:00-16:30;;09:00-12:15;13:00-18:00;;09:00-12:15;13:00-16:30;;;;;;;;50814339;7151170;50.814339;7.15117
503771;Reisezentrum Unna;;;Bahnhofstr. 76;59423;Unna;;Reisezentrum;08:00-13:00;14:00-18:00;;08:00-13:00;14:00-18:00;;08:00-13:00;14:00-18:00;;08:00-13:00;14:00-18:00;;08:00-13:00;14:00-18:00;;08:00-13:30;;;;;;51538627;7692860;51.538627;7.69286
503516;Reisezentrum Wanne-Eickel Hbf;;;Heinz-Rühmann-Platz 1;44649;Herne;;Reisezentrum;09:00-16:00;;;09:00-16:00;;;09:00-16:00;;;09:00-16:00;;;09:00-16:00;;;;;;;;;51532110;7165031;51.53211;7.165031
504001;Reisezentrum Wesel;;;Franz-Etzel-Platz 17;46483;Wesel;;Reisezentrum;07:30-17:30;;;08:30-17:30;;;08:30-17:30;;;08:30-17:30;;;08:30-17:30;;;09:00-13:30;;;;;;51655712;6626020;51.655712;6.62602
504241;Reisezentrum Wuppertal Hbf;;;Döppersberg 37;42103;Wuppertal;;Reisezentrum;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;08:00-17:30;;;10:15-15:45;;;51255323;7149921;51.255323;7.149921
509703;Mobility Center Köln;;;Zülpicher Straße 288;50937;Köln;;Mobility Center;09:30-18:30;;;09:30-18:30;;;09:30-18:30;;;09:30-18:30;;;09:30-18:30;;;;;;;;;50922408;6922098;50.922408;6.922098
504639;Reisezentrum Andernach;;;Kurfürstendamm 1;56626;Andernach;;Reisezentrum;06:00-15:00;15:45-20:00;;07:00-12:45;13:45-17:00;;06:00-15:00;15:45-19:30;;07:00-12:45;13:45-17:00;;07:00-12:45;13:45-17:00;;09:30-15:00;;;09:30-15:00;;;50435183;7402437;50.435183;7.402437
305086;Reisezentrum Bad Dürkheim;;;Mannheimer Straße 14 / Im Bahnhof;67098;Bad Dürkheim;;Reisezentrum;08:30-12:00;13:30-17:00;;08:30-12:00;13:30-17:00;;08:30-12:00;13:30-17:00;;08:30-12:00;13:30-17:00;;08:30-12:00;13:30-17:00;;08:30-12:00;;;;;;49460834;8170365;49.460834;8.170365
504399;Reisezentrum Bad Hersfeld;;;Bahnhofstr. 20;36251;Bad Hersfeld;;Reisezentrum;08:00-16:30;;;08:00-12:00;12:45-16:30;;08:00-12:00;12:45-16:30;;08:00-12:00;12:45-16:30;;08:00-16:30;;;;;;;;;50870468;9714579;50.870468;9.714579
504324;Reisezentrum Bad Homburg;;;Am Bahnhof;61352;Bad Homburg;;Reisezentrum;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;09:30-14:30;;;;;;50221042;8621554;50.221042;8.621554
504472;Reisezentrum Bad Kreuznach;;;Europaplatz 1;55543;Bad Kreuznach;;Reisezentrum;06:00-20:00;;;07:00-20:00;;;07:00-20:00;;;07:00-20:00;;;07:00-20:00;;;08:00-13:00;14:00-16:30;;08:00-13:00;14:00-16:30;;49842857;7864123;49.842857;7.864123
504571;Reisezentrum Bad Nauheim;;;Bahnhofsallee;61231;Bad Nauheim;;Reisezentrum;06:15-11:45;12:15-14:45;;06:15-11:45;12:15-14:45;;08:45-11:45;12:15-18:00;;08:45-11:45;12:15-18:00;;08:45-11:45;12:15-16:00;;;;;;;;50367566;8746108;50.367566;8.746108
504175;Reisezentrum Bad Neuenahr;;;Hauptstraße 58;53474;Bad Neuenahr;;Reisezentrum;07:00-12:45;13:45-17:00;;06:00-15:00;15:45-20:00;;07:00-12:45;13:45-17:00;;06:00-15:00;15:45-19:30;;07:00-12:45;13:45-17:00;;09:30-15:00;;;09:30-15:00;;;50547243;7144123;50.547243;7.144123
505446;Reisezentrum Bad Wildungen;;;Bahnhofsplatz 1;34537;Bad Wildungen;;Reisezentrum;08:40-11:45;12:45-17:10;;08:40-11:45;12:45-17:10;;08:40-11:45;12:45-17:10;;08:40-11:45;12:45-17:10;;08:40-11:45;12:45-17:10;;;;;;;;51121006;9133993;51.121006;9.133993
504514;Reisezentrum Bensheim;;;Amershamplatz;64625;Bensheim;;Reisezentrum;07:00-18:00;;;07:00-18:00;;;07:00-18:00;;;07:00-18:00;;;07:00-18:00;;;10:00-15:15;;;10:00-15:15;;;49681105;8617652;49.681105;8.617652
504258;Reisezentrum Betzdorf (Sieg);;;Bahnhofstraße;57518;Betzdorf (Sieg);;Reisezentrum;06:00-17:30;;;08:00-12:30;13:30-19:00;;08:00-12:30;13:30-17:30;;08:00-12:30;13:30-17:30;;08:00-12:30;13:30-17:30;;08:30-12:30;;;;;;50789300;7871120;50.7893;7.87112
504456;Reisezentrum Bingen (Rhein) Hbf;;;Hauptbahnhof ;55411;Bingen (Rhein);;Reisezentrum;07:00-12:30;13:30-17:00;;07:00-12:30;13:30-17:00;;07:00-12:30;13:30-17:00;;06:00-15:00;15:30-20:00;;07:00-12:30;13:30-17:00;;09:45-15:00;;;09:45-15:00;;;49969129;7902956;49.969129;7.902956
